DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Oct-29-2018 04:24 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-29-2018 10:40 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-28-2018 06:38 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-27-2018 07:18 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-27-2018 12:12 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-26-2018 12:04 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-26-2018 10:00 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-25-2018 09:42 AM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-25-2018 07:52 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-24-2018 01:15 PM,Transfer at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-24-2018 12:20 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-23-2018 12:32 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-23-2018 10:49 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-22-2018 01:28 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-18-2018 07:54 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-18-2018 11:18 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-13-2018 04:41 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-13-2018 11:55 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-12-2018 04:10 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-12-2018 10:25 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-11-2018 12:56 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-11-2018 11:01 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-10-2018 04:04 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-10-2018 12:32 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-09-2018 03:16 PM,Transfer at Bus Stop 52095,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-09-2018 02:51 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-06-2018 08:15 PM,Tap out at Inlet Centre Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-06-2018 07:40 PM,Tap in at Commercial Drive Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-06-2018 07:08 PM,Transfer at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-06-2018 05:44 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-06-2018 02:10 AM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-05-2018 12:02 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-05-2018 10:03 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-04-2018 07:56 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-03-2018 06:34 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-03-2018 02:04 PM,Tap in at Bus Stop 50577,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-03-2018 12:31 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-02-2018 10:22 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-02-2018 07:57 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-02-2018 12:31 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-02-2018 07:54 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-01-2018 04:27 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-01-2018 10:52 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-29-2018 06:15 PM,Tap out at Patterson Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-29-2018 06:04 PM,Transfer at Commercial Drive Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-29-2018 05:31 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-27-2018 08:25 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-27-2018 12:29 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-27-2018 08:02 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 01:50 PM,Transfer at Bus Stop 50913,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 01:49 PM,Tap out at Commercial-Broadway Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 01:36 PM,Tap in at Metrotown Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 12:19 PM,Tap out at Metrotown Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 12:07 PM,Transfer at Commercial Drive Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 11:26 AM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-26-2018 09:29 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 02:59 PM,Transfer at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 02:33 PM,Transfer at Bus Stop 52095,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 02:13 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 09:30 AM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 07:47 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-25-2018 07:47 AM,Loaded at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-24-2018 05:29 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-24-2018 01:05 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-23-2018 08:05 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-21-2018 12:22 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-21-2018 09:46 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 04:03 PM,Tap out at Inlet Centre Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 03:32 PM,Transfer at Commercial Drive Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 03:31 PM,Transfer at Bus Stop 58491,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 03:10 PM,Transfer at Bus Stop 58503,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 02:51 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-20-2018 12:28 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-19-2018 05:41 PM,Transfer at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-19-2018 05:04 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-18-2018 12:31 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-18-2018 07:46 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-17-2018 04:19 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-15-2018 02:47 PM,Tap out at Inlet Centre Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-15-2018 02:16 PM,Transfer at Commercial Drive Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-15-2018 01:27 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-13-2018 12:55 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-13-2018 07:49 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-12-2018 09:05 AM,Tap in at Bus Stop 50347,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 02:58 PM,Transfer at Bus Stop 52095,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 02:34 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 12:28 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 10:41 AM,Transfer at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 09:53 AM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-11-2018 07:40 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-08-2018 01:38 AM,Tap in at Bus Stop 61702,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-07-2018 08:44 PM,Tap in at Bus Stop 50357,3 Zone UPass (N),,$0.00,$14.70,,,,,
Sep-07-2018 05:47 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
